,Month,DayofMonth,CRSDepTime,Delayed,Visibility
401428,1,18,2040,0,7.0
401429,1,19,2040,1,7.0
401430,1,20,2040,0,10.0
401431,1,21,2040,0,8.0
401432,1,22,2040,0,7.0
401433,1,23,2040,0,5.0
401434,1,24,2040,1,10.0
401435,1,25,2040,0,10.0
401436,1,26,2040,1,6.0
401437,1,27,2040,0,10.0
401438,1,28,2040,1,4.0
401439,1,29,2040,0,3.0
401440,1,30,2040,1,2.0
401644,1,1,845,0,10.0
401645,1,2,845,0,9.0
401646,1,3,845,1,3.0
401647,1,4,845,1,5.0
401648,1,5,845,0,10.0
401649,1,6,845,1,10.0
401650,1,7,845,0,10.0
401651,1,8,845,1,10.0
401652,1,9,845,0,10.0
401653,1,10,845,0,10.0
401654,1,11,845,0,9.0
401655,1,12,845,0,4.0
401656,1,13,845,0,1.0
401657,1,14,845,0,1.0
401658,1,15,845,0,2.0
401659,1,16,845,0,2.0
401660,1,17,845,0,7.0
401661,1,18,845,0,6.0
401662,1,19,845,1,4.0
401663,1,20,845,0,10.0
401664,1,21,845,0,9.0
401665,1,22,845,1,4.0
401666,1,23,845,0,4.0
401667,1,24,845,0,8.0
401668,1,25,845,0,10.0
401669,1,26,845,0,2.0
401670,1,27,845,0,10.0
401671,1,28,845,0,10.0
401672,1,29,845,0,10.0
401673,1,30,845,0,3.0
401674,1,31,840,0,6.0
401826,1,1,1020,1,10.0
401827,1,2,1020,1,10.0
401828,1,3,1020,1,3.0
401829,1,4,1020,0,9.0
401830,1,5,1020,0,10.0
401831,1,6,1020,0,10.0
401832,1,7,1020,0,10.0
401833,1,8,1020,0,10.0
401834,1,9,1020,0,10.0
401835,1,10,1020,0,10.0
401836,1,11,1020,0,9.0
401837,1,12,1020,0,4.0
401838,1,13,1020,0,2.0
401839,1,14,1020,0,1.0
401840,1,15,1020,0,2.0
401841,1,16,1020,0,1.0
401842,1,17,1020,0,8.0
401843,1,18,1020,1,9.0
401844,1,19,1020,0,10.0
401845,1,20,1020,0,10.0
401846,1,21,1020,0,10.0
401847,1,22,1020,0,6.0
401848,1,23,1020,0,6.0
401849,1,24,1020,0,10.0
401850,1,25,1020,0,10.0
401851,1,26,1020,1,2.0
401852,1,27,1020,1,10.0
401853,1,28,1020,0,10.0
401854,1,29,1020,0,8.0
401855,1,30,1020,1,2.0
401856,1,31,1020,0,8.0
401951,1,31,1120,0,8.0
401952,1,1,1130,0,10.0
401953,1,2,1130,1,10.0
401954,1,3,1130,1,3.0
401955,1,4,1130,1,4.0
401956,1,5,1130,0,10.0
401957,1,6,1130,0,10.0
401958,1,7,1130,0,10.0
401959,1,8,1130,1,10.0
401960,1,9,1130,0,10.0
401961,1,10,1130,0,10.0
401962,1,11,1130,0,9.0
401963,1,12,1130,1,5.0
401964,1,13,1130,0,3.0
401965,1,14,1130,0,1.0
401966,1,15,1130,0,2.0
401967,1,16,1130,1,3.0
401968,1,17,1130,0,7.0
401969,1,18,1130,0,10.0
401970,1,19,1130,1,10.0
401971,1,20,1130,0,10.0
401972,1,21,1130,0,10.0
401973,1,22,1130,0,7.0
401974,1,23,1130,1,6.0
401975,1,24,1130,0,10.0
401976,1,25,1130,0,10.0
401977,1,26,1130,0,5.0
401978,1,27,1130,0,10.0
401979,1,28,1130,0,10.0
401980,1,29,1130,0,8.0
401981,1,30,1130,0,2.0
402537,1,1,2200,1,10.0
402538,1,2,2200,1,10.0
402539,1,3,2200,0,5.0
402540,1,4,2200,1,7.0
402541,1,5,2200,0,10.0
402542,1,7,2200,0,10.0
402543,1,8,2200,0,10.0
402544,1,9,2200,0,10.0
402545,1,10,2200,0,10.0
402546,1,11,2200,0,5.0
402547,1,12,2200,1,9.0
402548,1,14,2200,1,2.0
402549,1,15,2200,0,8.0
402550,1,16,2200,0,8.0
402551,1,17,2200,1,7.0
402552,1,18,2200,0,7.0
402553,1,19,2200,0,10.0
402554,1,21,2200,0,6.0
402555,1,22,2200,0,5.0
402556,1,23,2200,0,6.0
402557,1,24,2200,0,10.0
402558,1,25,2200,0,10.0
402559,1,26,2200,1,10.0
402560,1,28,2200,0,4.0
402561,1,29,2200,1,8.0
402562,1,30,2200,0,7.0
402563,1,31,2200,0,8.0
402595,1,1,2030,1,10.0
402596,1,2,2030,1,7.0
402597,1,3,2030,1,5.0
402598,1,4,2030,0,8.0
402599,1,5,2030,1,10.0
402600,1,6,2030,0,8.0
402601,1,7,2030,0,10.0
402602,1,8,2030,0,10.0
402603,1,9,2030,0,10.0
402604,1,10,2030,0,10.0
402605,1,11,2030,0,5.0
402606,1,12,2030,0,6.0
402607,1,13,2030,0,6.0
402608,1,14,2030,1,1.0
402609,1,15,2030,0,9.0
402610,1,16,2030,0,9.0
402611,1,17,2030,0,6.0
402612,1,18,2030,0,7.0
402613,1,19,2030,0,7.0
402614,1,20,2030,0,10.0
402615,1,21,2030,0,8.0
402616,1,22,2030,0,7.0
402617,1,23,2030,0,5.0
402618,1,24,2030,0,10.0
402619,1,25,2030,0,10.0
402620,1,26,2030,1,6.0
402621,1,27,2030,0,10.0
402622,1,28,2030,0,4.0
402623,1,29,2030,1,3.0
402624,1,30,2030,0,2.0
402625,1,31,2030,0,7.0
402657,1,1,2000,0,10.0
402658,1,2,2000,0,7.0
402659,1,3,2000,0,5.0
402660,1,4,2000,0,8.0
402661,1,5,2000,0,10.0
402662,1,7,2000,0,10.0
402663,1,8,2000,0,10.0
402664,1,9,2000,0,10.0
402665,1,10,2000,0,10.0
402666,1,11,2000,0,5.0
402667,1,12,2000,0,6.0
402668,1,14,2000,0,2.0
402669,1,15,2000,0,9.0
402670,1,16,2000,0,9.0
402671,1,17,2000,0,6.0
402672,1,18,2000,0,7.0
402673,1,19,2000,0,7.0
402674,1,21,2000,0,8.0
402675,1,22,2000,0,7.0
402676,1,23,2000,0,5.0
402677,1,24,2000,0,10.0
402678,1,25,2000,0,10.0
402679,1,26,2000,1,4.0
402680,1,28,2000,1,5.0
402681,1,29,2000,0,3.0
402682,1,30,2000,1,2.0
402683,1,31,2000,0,7.0
402712,1,2,1900,1,9.0
402713,1,3,1900,0,5.0
402714,1,4,1900,0,8.0
402715,1,5,1900,1,10.0
402716,1,6,1900,0,10.0
402717,1,7,1900,0,10.0
402718,1,8,1900,0,10.0
402719,1,9,1900,0,10.0
402720,1,10,1900,1,10.0
402721,1,11,1900,0,7.0
402722,1,12,1900,0,5.0
402723,1,13,1900,0,6.0
402724,1,14,1900,0,1.0
402725,1,15,1900,0,8.0
402726,1,16,1900,0,10.0
402727,1,17,1900,0,6.0
402728,1,18,1900,0,8.0
402729,1,19,1900,0,10.0
402730,1,20,1900,0,10.0
402731,1,21,1900,0,9.0
402732,1,22,1900,0,7.0
402733,1,23,1900,0,4.0
402734,1,24,1900,0,10.0
402735,1,25,1900,0,10.0
402736,1,26,1900,1,1.0
402737,1,27,1900,0,10.0
402738,1,28,1900,1,5.0
402739,1,29,1900,0,3.0
402740,1,30,1900,0,3.0
402741,1,31,1900,1,6.0
402800,1,1,1800,1,10.0
402801,1,2,1800,0,9.0
402802,1,3,1800,0,5.0
402803,1,4,1800,0,6.0
402804,1,5,1800,0,10.0
402805,1,7,1800,0,10.0
402806,1,8,1800,1,10.0
402807,1,9,1800,0,10.0
402808,1,10,1800,0,10.0
402809,1,11,1800,0,8.0
402810,1,12,1800,0,6.0
402811,1,14,1800,0,3.0
402812,1,15,1800,1,7.0
402813,1,16,1800,0,10.0
402814,1,17,1800,0,7.0
402815,1,18,1800,0,8.0
402816,1,19,1800,0,10.0
402817,1,21,1800,0,9.0
402818,1,22,1800,0,7.0
402819,1,23,1800,0,3.0
402820,1,24,1800,1,10.0
402821,1,25,1800,0,10.0
402822,1,26,1800,1,1.0
402823,1,28,1800,0,4.0
402824,1,29,1800,0,3.0
402825,1,30,1800,0,7.0
402826,1,31,1800,0,6.0
402858,1,2,1730,0,9.0
402859,1,3,1730,0,4.0
402860,1,4,1730,0,6.0
402861,1,5,1730,0,10.0
402862,1,6,1730,0,10.0
402863,1,7,1730,0,10.0
402864,1,8,1730,0,10.0
402865,1,9,1730,0,10.0
402866,1,10,1730,0,10.0
402867,1,11,1730,0,8.0
402868,1,12,1730,0,6.0
402869,1,13,1730,0,6.0
402870,1,14,1730,0,2.0
402871,1,15,1730,0,5.0
402872,1,16,1730,1,10.0
402873,1,17,1730,0,7.0
402874,1,18,1730,1,7.0
402875,1,19,1730,0,10.0
402876,1,20,1730,0,10.0
402877,1,21,1730,0,10.0
402878,1,22,1730,0,6.0
402879,1,23,1730,0,5.0
402880,1,24,1730,1,8.0
402881,1,25,1730,0,10.0
402882,1,26,1730,0,1.0
402883,1,27,1730,0,10.0
402884,1,28,1730,0,8.0
402885,1,29,1730,0,4.0
402886,1,30,1730,0,10.0
402887,1,31,1730,0,7.0
402914,1,1,1700,0,10.0
402915,1,2,1700,1,9.0
402916,1,3,1700,1,4.0
402917,1,4,1700,1,6.0
402918,1,5,1700,1,10.0
402919,1,6,1700,1,10.0
402920,1,7,1700,0,10.0
402921,1,8,1700,0,10.0
402922,1,9,1700,0,10.0
402923,1,10,1700,0,10.0
402924,1,11,1700,0,8.0
402925,1,12,1700,1,6.0
402926,1,13,1700,0,6.0
402927,1,14,1700,1,2.0
402928,1,15,1700,0,5.0
402929,1,16,1700,0,10.0
402930,1,17,1700,0,7.0
402931,1,18,1700,0,7.0
402932,1,19,1700,1,10.0
402933,1,20,1700,0,10.0
402934,1,21,1700,0,10.0
402935,1,22,1700,0,6.0
402936,1,23,1700,0,5.0
402937,1,24,1700,1,3.0
402938,1,25,1700,0,10.0
402939,1,26,1700,1,1.0
402940,1,27,1700,0,10.0
402941,1,28,1700,0,8.0
402942,1,29,1700,0,4.0
402943,1,30,1700,0,10.0
402944,1,31,1700,0,7.0
403033,1,1,1600,0,10.0
403034,1,2,1600,1,10.0
403035,1,3,1600,0,3.0
403036,1,4,1600,0,7.0
403037,1,5,1600,1,10.0
403038,1,7,1600,0,10.0
403039,1,8,1600,0,10.0
403040,1,9,1600,0,10.0
403041,1,10,1600,0,10.0
403042,1,11,1600,0,8.0
403043,1,12,1600,0,7.0
403044,1,14,1600,0,3.0
403045,1,15,1600,0,1.0
403046,1,16,1600,0,8.0
403047,1,17,1600,0,6.0
403048,1,18,1600,0,7.0
403049,1,19,1600,0,10.0
403050,1,21,1600,0,10.0
403051,1,22,1600,0,6.0
403052,1,23,1600,0,5.0
403053,1,24,1600,0,10.0
403054,1,25,1600,0,10.0
403055,1,26,1600,0,0.0
403056,1,28,1600,1,10.0
403057,1,29,1600,0,3.0
403058,1,30,1600,0,8.0
403059,1,31,1600,0,6.0
